Date,Unnamed: 0,Total_trans,Total_ORN,Total_avg_trans_orn,Total_200,Total_200_per,Total_422,Total_422_per,Total_other_response
2020-12-21,9,444484,172935,2.5702373724231653,326268,73.40376706473124,118210,26.594883055408072,6
2020-12-22,10,473689,182617,2.593893230093584,344320,72.68904281078936,129367,27.310534971257514,2
2020-12-23,11,501551,193442,2.592771993672522,364855,72.74534394308856,136686,27.25266224172617,10
2020-12-24,6,442602,171838,2.5756933856306516,324269,73.26424191485805,118330,26.735080275281177,3
2020-12-25,6,1048943,434398,2.414704947996998,839067,79.99166780273094,209841,20.00499550499884,35
2020-12-26,4,1420836,589549,2.4100388602134846,1141349,80.32939762224494,279472,19.6695466612614,15
2020-12-27,0,582358,240200,2.4244712739383845,460658,79.10220173844955,121690,20.89608110475,10
2020-12-28,7,972132,404790,2.4015711850589194,782733,80.51715199170485,189393,19.48223080816185,6
2020-12-29,2,935714,391480,2.390196178604271,751030,80.26277259931987,184667,19.735410606232247,17
2020-12-30,3,1286368,536488,2.397757265772953,1039217,80.78691323167244,247134,19.21176521804025,17
2020-12-31,1,981743,408835,2.401318380275661,791148,80.58605969179305,190582,19.412616132735348,13
2021-01-01,8,676272,282220,2.3962582382538447,543920,80.42917642605342,132341,19.569197009487308,11
2021-01-02,5,1321695,554016,2.3856621469416046,1073664,81.23387014401959,248024,18.765600233034093,7
2021-01-03,9,644547,265355,2.428998888281736,510430,79.19205271299067,134112,20.8071715483898,5
2021-01-04,12,1074639,449657,2.389908307888013,867316,80.70766089821791,207317,19.2917807747532,6
2021-01-05,13,1188001,493641,2.406609256524478,954583,80.3520367407098,233397,19.64619558401045,21
2021-01-06,14,1331728,556661,2.392350101767503,1079859,81.0870538127906,251853,18.911744740667764,16
2021-01-07,15,1143169,474436,2.409532581844548,917637,80.27133345988213,225518,19.727441874298552,14
2021-01-08,16,988473,410416,2.4084660442088026,793375,80.26268800462937,195080,19.735491004812477,18
2021-01-09,17,1851799,775169,2.388897130819215,1505639,81.30682649682822,346144,18.69230947851252,16
2021-01-10,18,652040,269034,2.4236341875004648,517579,79.37841236733942,134450,20.61990061959389,11
2021-01-11,19,1072130,445734,2.4053134829292806,862391,80.43716713458257,209715,19.56059433091136,24
2021-01-12,20,1166647,487201,2.3945907335986583,942271,80.76744722268175,224349,19.23023845259106,27
2021-01-13,21,1343180,555977,2.4158913048561357,1076446,80.14160425259459,266717,19.857130094253932,17
2021-01-14,22,855288,355016,2.409153390269734,685702,80.17205900234775,169577,19.826888720524547,9
2021-01-15,23,932694,387613,2.4062505643515566,749641,80.37373457961561,183039,19.624764392180072,14
2021-01-16,24,1489947,621019,2.399197126013858,1206675,80.98778010224525,283250,19.010743335165614,22
2021-01-17,25,621326,257244,2.415317752795012,494619,79.60700179937746,126692,20.390584009038733,15
2021-01-18,26,973116,407248,2.3894923977527207,787552,80.93094759514796,185556,19.068230303478718,8
2021-01-19,27,981043,408760,2.4000464820432525,791660,80.69574931985652,189377,19.303639086156267,6
2021-01-20,28,1252620,523256,2.3938951488372804,1013122,80.88023502738261,239483,19.118567482556557,15
2021-01-21,7,1087101,451500,2.4077541528239204,872704,80.27809743528891,214381,19.720430760343334,16
2021-01-22,29,898940,374546,2.4000790290111227,724367,80.5801277059648,174560,19.418426146350146,13
2021-01-23,30,1539237,640807,2.4020290040527024,1242804,80.74156221556524,296405,19.256618701343587,28
2021-01-24,31,609841,252144,2.418621898597627,485366,79.58894203571093,124466,20.40958216977868,9
2021-01-25,5,967221,404674,2.390123902202761,783423,80.99731085243188,183779,19.000724756803255,19
2021-01-26,6,688652,285209,2.414552135451546,549282,79.76191167672495,139365,20.237362267153802,5
