Date,Unnamed: 0,QR_trans,QR_ORN,QR_avg_trans_orn,QR_POI_trans,QR_POI_ORN,QR_POI_avg_trans_orn,QR_POA_trans,QR_POA_ORN,QR_POA_avg_trans_orn,QR_200,QR_200_per,QR_422,QR_422_per,QR_other_response,QR_POI_200,QR_POI_200_per,QR_POI_422,QR_POI_422_per,QR_POI_other_response,QR_POA_200,QR_POA_200_per,QR_POA_422,QR_POA_422_per,QR_POA_other_response,QR_POI_stopped,QR_POA_stopped
2020-12-17,3,573777,250710,2.288608352279526,308467,249516,1.236261402074416,265310,240681,1.1023304706229409,488437,85.12662584941536,85336,14.872677015634991,4,246529,79.92070464587785,61935,20.078322802763342,3,241908,91.17937507067205,23401,8.820248011759828,1,8835,1194
2020-12-18,4,634498,274813,2.3088354626600642,339882,274774,1.2369510943539055,294616,265101,1.11133492517946,538209,84.82438084911222,96279,15.174043101790707,10,271601,79.9103806615237,68274,20.08755980016594,7,266608,90.4933880033671,28005,9.505593721997448,3,9673,39
2020-12-19,5,560541,244900,2.2888566761943654,299256,244871,1.2220965324599482,261285,236650,1.104098880202831,480353,85.69453438731512,80180,14.304038420026364,8,242377,80.99319646055551,56873,19.004798567113106,6,237976,91.07908988269514,23307,8.92014466961364,2,8221,29
2020-12-20,0,422026,181249,2.3284321568670725,226569,181202,1.250366993741791,195457,174411,1.1206689945014936,354247,83.93961509480458,67774,16.059200144066953,5,178858,78.94195587216257,47708,21.05672002789437,3,175389,89.73278009997084,20066,10.266196657065237,2,6791,47
2020-12-22,1,665871,288327,2.3094299181138083,357605,288285,1.2404564927068702,308266,278200,1.1080733285406184,565182,84.87860261221769,100683,15.120496312348788,6,285288,79.777408034004,72315,20.222032689699528,2,279894,90.7962603725354,28368,9.202442046803734,4,10085,42
2020-12-23,2,719178,311784,2.30665460703564,384739,311661,1.2344791295670616,334439,300683,1.112264411356811,610370,84.87050493758152,108797,15.127965538434156,11,308038,80.0641473830311,76697,19.93481295111751,4,302332,90.3997440489895,32100,9.59816289368166,7,10978,123
2020-12-24,3,626039,271226,2.308182106435224,335922,270895,1.2400450358995183,290117,261385,1.1099221454941943,531238,84.85701370042442,94790,15.141229220543769,11,268284,79.8649686534374,67631,20.132947529486014,7,262954,90.63722567102238,27159,9.361395574888752,4,9510,331
2020-12-25,6,618446,266967,2.3165634703914715,331238,266850,1.2412891137343076,287208,257535,1.1152192905818628,522988,84.56486095794943,95439,15.432066825559547,19,264024,79.70824603457332,67199,20.2872254994898,15,258964,90.16601208879976,28240,9.832595192334477,4,9315,117
2020-12-26,4,847062,366710,2.309896103187805,452998,366599,1.2356771295066271,394064,354438,1.1117995248816437,719833,84.97996604734955,127220,15.018971456634814,9,363218,80.1809279511168,89774,19.817747539724238,6,356615,90.49672134475618,37446,9.502517357586584,3,12161,111
2020-12-27,0,343971,148085,2.3227943410878886,185667,147976,1.2547102232794507,158304,142303,1.1124431670449677,288766,83.95068188888018,55196,16.04670161147306,9,145837,78.54761481577232,39825,21.449692190857824,5,142929,90.28767434808977,15371,9.709798868000806,4,5673,109
2020-12-28,7,574335,249227,2.304465407038564,307536,249120,1.234489402697495,266799,240615,1.1088211458138522,488642,85.07961381423733,85688,14.919515613709764,5,246537,80.1652489464648,60995,19.833450392799534,4,242105,90.74434311972685,24693,9.255282066274614,1,8505,107
2020-12-29,2,552516,241156,2.2911144653253497,296324,239484,1.237343622120893,256192,231030,1.1089122624767347,469210,84.92242758580747,83292,15.075038550919793,14,236806,79.9145529892955,59507,20.081734857790803,11,232404,90.71477641768674,23785,9.28405258556083,3,8454,1672
2020-12-30,3,766929,333440,2.3000509836852205,409104,333398,1.227073947654155,357825,322343,1.1100752924679609,654630,85.35731469275512,112287,14.641120625246927,12,330376,80.75599358598302,78720,19.242050921037194,8,324254,90.61803954447008,33567,9.380842590651856,4,11055,42
2020-12-31,1,582940,252600,2.307759303246239,312540,252518,1.2376939465701455,270400,243631,1.10987518008792,495367,84.9773561601537,87562,15.020756853192436,11,250167,80.0431944711077,62367,19.95488577462085,6,245200,90.68047337278108,25195,9.3176775147929,5,8887,82
2021-01-01,8,400678,173966,2.303197176459768,215102,173929,1.2367230306619368,185576,167381,1.1087040942520359,340561,84.99618147240427,60110,15.00207148882644,7,172094,80.00576470697622,43003,19.991910814404328,5,168467,90.78059662887442,17107,9.218325645557616,2,6548,37
2021-01-02,5,794156,345376,2.2993954414898545,425205,345272,1.23150733334878,368951,333678,1.1057096961741562,678400,85.42402248424743,115751,14.575347916530252,5,342352,80.51457532249151,82849,19.484483954798275,4,336048,91.08201360072205,32902,8.917715360576336,1,11594,104
2021-01-03,9,381452,163721,2.3298904844216684,205909,163662,1.258135669856167,175543,157542,1.1142615937337346,320015,83.89391063620063,61433,16.105040739070713,4,161606,78.48418476122947,44301,21.514843935913444,2,158409,90.23942851609007,17132,9.759432161920444,2,6120,59
2021-01-04,5,628944,274246,2.293357058990833,337042,273461,1.2325048178716531,291902,264091,1.1053083974842006,536532,85.30679996947264,92410,14.692882037192499,2,270783,80.34102574753295,66258,19.65867755353932,1,265749,91.04048619057079,26152,8.959171228700043,1,9370,785
2021-01-05,6,698846,302473,2.3104409319178902,374743,302426,1.2391229590048474,324103,291710,1.1110452161393165,593091,84.86719534775902,105736,15.130085884443787,19,299480,79.91610250224821,75254,20.08149585182378,9,293611,90.5918797419339,30482,9.405034819177851,10,10716,47
2021-01-06,7,793349,345253,2.297877208887396,423785,345211,1.2276115187522991,369564,333820,1.1070756695224973,678344,85.50385769692784,114994,14.494755775831315,11,342334,80.78011255707494,81444,19.218235661951226,7,336010,90.92065244450217,33550,9.078265198991243,4,11391,42
